zoneName,zoneNumber,mobNumber,mobName,mobKeywords,mobShortDesc,mobLongDesc,actionFlags,affectedByFlags,mobAlignment,mobLetter,mobLevel,mobHitroll,mobArmor,mobHPDieNumber,mobHPDieSize,mobHPBaseNumber,mobHPMinValue,mobHPMaxValue,mobHPAverage,mobHPAffective,mobDamDieNumber,mobDamDieSize,mobDamBaseNumber,mobDamMinValue,mobDamMaxValue,mobDamAverage,mobDamAffective,mobHitCount,mobEXP,mobCoins,mobCoinEXP,mobTotalExp,mobExpPerEffectiveHP,mobPosition,mobDefaultPosition,mobSex,mobClass,mobImmune,NoSpecialAttackLines,attackType,attackTarget,attackPercent,attackSpell,mobHitType,mobAct2Flags,mobAffectedBy2Flags,mobImmune2Flags
QuestbyHemp,262,26250," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26251," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26252," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26253," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26254," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26255," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26256," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26257," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26258," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26259," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26260," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26261," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26262," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26263," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26264," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26265," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26266," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26267," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26268," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26269," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26270," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26271," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26272," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26273," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26274," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26275," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26276," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26277," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26278," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26279," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26280," a Hemp Farmer"," farmer hemp hempquest bumpkin country"," A friendly country bumpkin smiles welcomely as you approach. "," This friendly farmer smiles pleasantly with a subdued look upon his face. Recent global concern about the future of our world have filled his otherwise empty pockets. Midgaard's own Trade Commision recently invested heavily in alternative fibers and vitamin sources. As com- prehension dawns on a visitor's face at the recognition of the sudden turn of events for this country bumpkin, he spreads a cheshire grin and offers a pipe. ",SENTINEL ISNPC SHIELD,INVUL,420,Y,50,-20,10,30000,1,1,30001,30001,30001,30001,1,1,1,2,2,2,2,1,1,1,0,1,0,Standing,Standing,male,Human,PUMMEL CHARM CLAIR,1," SPELL SKILL"," SELF"," 50"," miracle",0,,,LOCATE
QuestbyHemp,262,26291," A mutant canadian goose"," goose mutant canada hempquest"," A goose honks loudy, surrounded by a glowing green veil of radiation. ","  This once calm, kind creature has been driven mad by the free reign it was granted in its kingdom. Easy access to contraband, booze and medicine has left it as but a shell: its insides worn to dust and ooze by a reckless lifestyle. A large maple leaf brand upon its back identifies it as a daemon from Canadia, the most feared realm by Midgaardians. ",ISNPC WIMPY AGGRANDOM,SENSE-LIFE SANCTUARY SPHERE SNEAK HIDE PROTECT-GOOD FLY DUAL,-359,Y,59,-27,-16,17,19,8779,8796,9102,8949,17898,97,3,67,164,358,261,339.3,1.3,2097593,0,0,2097593,117,Standing,Standing,neutral,Avian,,7," BITE SPELL SKILL SPELL SKILL SPELL SKILL SPELL SKILL SPELL SKILL SPELL SKILL"," RAN_ROOM RAN_GROUP GROUP GROUP BUFFER SELF SELF"," 5 3 5 3 3 2 1","  disenchant iceball electric_shock searing_orb fury miracle",0,IGNORE-SPHERE,,
QuestbyHemp,262,26292," a drunk hillbilly"," hillbilly drunk america hempquest"," A self-righteous redneck stumbles around, cursing belligerently. ","  This crazed denizen from another realm has brought terror and destruction to the tranquil domain of Ronin. A horrifying daemon driven by hatred, fear and beer. Its eyes appear to have strange red, white and blue glyphs instead of pupils. The disdain with which this creature treats other beings exemplifies its wicked arrogance. ",ISNPC WIMPY AGGRANDOM,SENSE-LIFE SANCTUARY SNEAK HIDE INVUL DUAL,19,Y,59,-27,-17,17,19,8779,8796,9102,8949,17898,97,3,71,168,362,265,344.5,1.3,2097593,0,0,2097593,117,Standing,Standing,male,Human,,7," KICK PUMMEL SPELL SKILL SPELL SKILL SPELL SKILL SPELL SKILL SPELL SKILL"," RAN_GROUP RAN_GROUP RAN_GROUP RAN_GROUP RAN_GROUP GROUP GROUP"," 3 3 3 3 3 3 3","   vampiric_touch convergence thunderball paralyze hell_fire",0,IGNORE-SPHERE,TRIPLE,
QuestbyHemp,262,26293," a rampaging moose"," moose rampage canada hempquest"," A wild-eyed moose rampages around, drooling maple syrup. ","  This once calm, kind creature has been driven mad by the free reign it was granted in its kingdom. Easy access to contraband, booze and medicine has left it as but a shell: its insides worn to dust and ooze by a reckless lifestyle. A large maple leaf brand upon its back identifies it as a daemon from Canadia, the most feared realm by Midgaardians. ",ISNPC AGGRANDOM,SPHERE,-263,Y,53,-19,-4,13,37,5281,5294,5762,5528,5528,17,11,7,24,194,109,109,1,115249,0,0,115249,20,Standing,Standing,female,Bovine,PUMMEL WHIP CRUSH,2," TRAMPLE BITE"," RAN_GROUP RAN_GROUP"," 3 3","  ",0,,,STEAL
QuestbyHemp,262,26294," a maniacal hockey fan"," fan hockey maniac canada hempquest"," A tortured hockey fan screams obscenities and curses the Red Wings. ","  This once calm, kind creature has been driven mad by the free reign it was granted in its kingdom. Easy access to contraband, booze and medicine has left it as but a shell: its insides worn to dust and ooze by a reckless lifestyle. A large maple leaf brand upon its back identifies it as a daemon from Canadia, the most feared realm by Midgaardians. ",SCAVENGER ISNPC AGGCL AGGMU MEMORY,SANCTUARY SNEAK DUAL,-101,Y,53,-17,-1,409,3,409,818,1636,1227,2454,13,47,19,32,630,331,430.3,1.3,181081,0,0,181081,73,Standing,Standing,male,Human,BACKSTAB AMBUSH ASSAULT,2," TRAMPLE SPELL SKILL"," GROUP LEADER"," 3 3","  fear",0,,TRIPLE,STEAL
QuestbyHemp,262,26295," a Canadian Mountie"," mountie canada hempquest"," A snooty mountie lectures on draconian rules while looking for his horse. ","  This once calm, kind creature has been driven mad by the free reign it was granted in its kingdom. Easy access to contraband, booze and medicine has left it as but a shell: its insides worn to dust and ooze by a reckless lifestyle. A large maple leaf brand upon its back identifies it as a daemon from Canadia, the most feared realm by Midgaardians. ",ISNPC WIMPY,PROTECT-EVIL DODGE INVUL,761,Y,53,-21,-11,109,3,7039,7148,7366,7257,7257,13,13,37,50,206,128,128,1,263167,0,0,263167,36,Standing,Standing,male,Human,,4," SPELL SKILL PUMMEL PUNCH SPELL SKILL"," SELF RAN_GROUP RAN_GROUP RAN_ROOM"," 3 3 3 2"," layhands   disenchant",0,,,STEAL
QuestbyHemp,262,26296," an overzealous patriot"," patriot overzealous america hempquest"," A patriot screams about the communist uprising happening around him. ","  This crazed denizen from another realm has brought terror and destruction to the tranquil domain of Ronin. A horrifying daemon driven by hatred, fear and beer. Its eyes appear to have strange red, white and blue glyphs instead of pupils. The disdain with which this creature treats other beings exemplifies its wicked arrogance. ",ISNPC AGGEVIL,PROTECT-EVIL SNEAK DUAL,463,Y,53,-11,-3,61,7,4513,4574,4940,4757,4757,17,7,47,64,166,115,149.5,1.3,151121,0,0,151121,31,Standing,Standing,male,Human,PUNCH DISEMBOWEL HACK,3," PUMMEL SPELL SKILL KICK"," RAN_GROUP RAN_ROOM RAN_GROUP"," 5 3 3","  fear ",0,,,STEAL
